2022-05-23 20:00:16,868 [   1658]   WARN - #c.i.n.i.NotificationGroupManagerImpl - Notification group CodeWithMe is already registered (group=com.intellij.notification.NotificationGroup@ce5c5d3). Plugin descriptor: PluginDescriptor(name=Code With Me, id=com.jetbrains.codeWithMe, descriptorPath=plugin.xml, path=/snap/intellij-idea-community/361/plugins/cwm-plugin, version=221.5591.52, package=null, isBundled=true)
Info  | RdCoroutineScope          | 18:JobScheduler FJ pool 5/11 | RdCoroutineHost overridden 
2022-05-23 20:00:32,827 [   1893]   WARN - #c.i.n.i.NotificationGroupManagerImpl - Notification group CodeWithMe is already registered (group=com.intellij.notification.NotificationGroup@560d197e). Plugin descriptor: PluginDescriptor(name=Code With Me, id=com.jetbrains.codeWithMe, descriptorPath=plugin.xml, path=/snap/intellij-idea-community/361/plugins/cwm-plugin, version=221.5591.52, package=null, isBundled=true)
Info  | RdCoroutineScope          | 29:JobScheduler FJ pool 6/11 | RdCoroutineHost overridden 
2022-05-23 20:00:39,039 [   8105]   WARN - #c.i.o.a.i.ActionUpdater - 227 ms to grab EDT for OpenFileAction#update (com.intellij.ide.actions.OpenFileAction)
2022-05-23 20:00:40,619 [   9685]   WARN - #c.i.o.a.i.ActionUpdater - 323 ms to grab EDT for CWMTelephonyGroup#update (com.jetbrains.rd.platform.codeWithMe.telephony.CWMTelephonyGroup)
2022-05-23 20:00:40,620 [   9686]   WARN - #c.i.o.a.i.ActionUpdater - 320 ms to grab EDT for #update (com.intellij.toolWindow.ToolWindowHeader$1)
2022-05-23 20:00:40,989 [  10055]   WARN - #c.i.o.v.ExternallyAddedFilesProcessorImpl - Cannot find project config directory for non-default and non-directory based project eureka-server
2022-05-23 20:00:41,206 [  10272]   WARN - #c.i.o.a.i.ActionUpdater - Calling `setPopup()` in WeighingNewActionGroup#update (com.intellij.ide.actions.WeighingNewActionGroup). Please use `event.getPresentation().setPopupGroup()` instead.
2022-05-23 20:00:43,886 [  12952]   WARN - #c.i.o.v.ExternallyAddedFilesProcessorImpl - Cannot find project config directory for non-default and non-directory based project eureka-server
2022-05-23 20:00:54,003 [  23069]   WARN - #c.i.o.a.i.ActionUpdater - 134 ms to call on EDT SurroundWithAction#update (com.intellij.codeInsight.generation.actions.SurroundWithAction). Use `UpdateInBackground`.
2022-05-23 20:01:25,514 [  54580]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-starter-actuator::2.6.3, was also in node: null
2022-05-23 20:01:25,515 [  54581]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-starter::2.6.3, was also in node: null
2022-05-23 20:01:25,515 [  54581]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot::2.6.3, was also in node: null
2022-05-23 20:01:25,515 [  54581]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework:spring-core::5.3.15, was also in node: null
2022-05-23 20:01:25,515 [  54581]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework:spring-context::5.3.15, was also in node: null
2022-05-23 20:01:25,516 [  54582]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-autoconfigure::2.6.3, was also in node: null
2022-05-23 20:01:25,516 [  54582]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-starter-logging::2.6.3, was also in node: null
2022-05-23 20:01:25,516 [  54582]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.slf4j:slf4j-api::1.7.33, was also in node: null
2022-05-23 20:01:25,516 [  54582]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.slf4j:jul-to-slf4j::1.7.33, was also in node: null
2022-05-23 20:01:25,517 [  54583]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-actuator-autoconfigure::2.6.3, was also in node: null
2022-05-23 20:01:25,517 [  54583]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-actuator::2.6.3, was also in node: null
